SamAccountName;name;createTimestamp;PasswordExpired;PasswordLastSet;LastLogonDate
oefm-rechnungen;Name_1;28.03.2019 15:58;FALSE;28.03.2019 15:58;
mannsberger;Name_2;08.04.2019 12:49;FALSE;05.06.2019 10:54;31.05.2019 09:07
plefka;Name_3;08.04.2019 12:50;FALSE;23.04.2019 10:11;24.06.2019 08:57
Stojancic;Name_4;08.04.2019 12:52;FALSE;02.05.2019 12:16;24.06.2019 08:28
noehrer;Name_5;23.04.2019 17:14;FALSE;02.05.2019 08:40;17.06.2019 07:26
reichel;Name_6;23.04.2019 17:17;FALSE;23.04.2019 17:17;15.06.2019 13:52
mirkovic;Name_7;23.04.2019 17:51;FALSE;13.05.2019 08:03;17.06.2019 08:12
burgstaller;Name_8;23.04.2019 17:55;FALSE;02.05.2019 09:55;15.06.2019 13:51
maisel;Name_9;23.04.2019 18:04;FALSE;13.05.2019 09:45;16.06.2019 16:32
strunze;Name_10;23.04.2019 18:08;FALSE;15.05.2019 13:39;15.06.2019 13:21
ueblauer;Name_11;23.04.2019 18:11;FALSE;23.04.2019 18:11;07.05.2019 13:56
zyla;Name_12;24.04.2019 11:26;FALSE;24.04.2019 11:26;17.06.2019 08:10
puerstinger;Name_13;24.04.2019 11:28;FALSE;24.04.2019 11:28;15.06.2019 12:20
dilch;Name_14;24.04.2019 15:02;FALSE;02.05.2019 10:14;21.06.2019 08:14
hauer;Name_15;25.04.2019 16:26;FALSE;02.05.2019 09:34;17.06.2019 08:16
kontrolle;Name_16;30.04.2019 09:40;FALSE;30.04.2019 09:40;
Investment-West;Name_17;03.05.2019 09:00;FALSE;03.05.2019 09:00;
samsung-knox;Name_18;07.05.2019 08:10;FALSE;07.05.2019 08:10;07.05.2019 08:11
admin-hauer;Name_19;07.05.2019 08:29;FALSE;07.05.2019 08:32;17.06.2019 10:01
ho_303b;Name_20;09.05.2019 10:29;FALSE;09.05.2019 10:29;
ho_305b;Name_21;09.05.2019 10:35;FALSE;09.05.2019 10:35;
alijanovic;Name_22;10.05.2019 12:04;FALSE;10.05.2019 12:04;20.06.2019 03:06
kautzky;Name_23;14.05.2019 09:31;FALSE;03.06.2019 08:56;21.06.2019 08:59
reichelr;Name_24;20.05.2019 14:44;FALSE;03.06.2019 08:21;23.06.2019 09:38
semlinger;Name_25;20.05.2019 14:49;FALSE;23.05.2019 12:46;17.06.2019 10:36
sturm;Name_26;23.05.2019 15:28;FALSE;03.06.2019 09:13;24.06.2019 07:33
aschauer;Name_27;28.05.2019 16:01;FALSE;03.06.2019 11:19;19.06.2019 12:13
huetter;Name_28;28.05.2019 16:07;FALSE;03.06.2019 10:08;24.06.2019 09:04
wlaschek;Name_29;28.05.2019 16:09;FALSE;17.06.2019 09:17;17.06.2019 09:13
Sandru;Name_30;28.05.2019 16:10;FALSE;11.06.2019 08:13;17.06.2019 11:31
keyvandaran;Name_31;31.05.2019 11:54;FALSE;11.06.2019 08:36;17.06.2019 08:28
raum-makler-2;Name_32;05.06.2019 15:20;FALSE;05.06.2019 15:20;
thiele;Name_33;17.06.2019 14:33;FALSE;17.06.2019 14:33;
muehl;Name_34;17.06.2019 14:35;FALSE;17.06.2019 14:35;18.06.2019 11:06
doerflinger;Name_35;17.06.2019 14:37;FALSE;17.06.2019 14:37;18.06.2019 10:56
bakula;Name_36;17.06.2019 14:55;FALSE;17.06.2019 14:55;
wieserd;Name_37;17.06.2019 15:02;FALSE;17.06.2019 15:02;
scharingero;Name_38;17.06.2019 15:04;FALSE;17.06.2019 15:04;
dudek;Name_39;18.06.2019 14:45;FALSE;18.06.2019 14:45;
frueh;Name_40;24.06.2019 12:49;FALSE;24.06.2019 12:49;
